id,city,state,latitude,longitude,neighbourhood_cleansed,first_review
4339474,Denver,CO,39.73089,-104.97185,Cheesman Park,11/24/2014
4344095,Denver,CO,39.75391,-104.98491000000001,Five Points,10/20/2014
4383018,Denver,CO,39.73725,-104.94448,Congress Park,9/26/2016
4384783,Denver,CO,39.731,-104.93323999999998,Hale,7/5/2015
4388297,Denver,CO,39.739329999999995,-104.98208000000001,Capitol Hill,10/24/2014
4427385,Denver,CO,39.72665,-104.98286999999999,Speer,11/11/2014
4471201,Denver,CO,39.78027,-105.03804,Berkeley,4/22/2015
4504068,Denver,CO,39.75096,-104.92658999999999,South Park Hill,2/28/2015
4540903,Denver,CO,39.75983,-104.9585,Skyland,9/9/2015
4545539,Denver,CO,39.718059999999994,-104.99032,Baker,11/27/2014
4556950,Denver,CO,39.74573,-104.99661,CBD,4/7/2018
4573687,Denver,CO,39.74123,-104.9641,City Park West,1/4/2015
4574082,Denver,CO,39.72327,-104.90365,Hilltop,1/2/2015
4581251,Denver,CO,39.73488,-104.97641999999999,Capitol Hill,8/22/2015
4604416,Denver,CO,39.74317,-104.97397,North Capitol Hill,2/10/2015
4637460,Denver,CO,39.75553,-104.98156000000002,Five Points,1/3/2015
4638352,Denver,CO,39.77037,-105.04803000000001,Berkeley,3/8/2015
4671545,Denver,CO,39.74286,-104.96706,City Park West,3/26/2015
4671735,Denver,CO,39.747609999999995,-104.98003999999999,Five Points,
4692525,Denver,CO,39.738,-104.96593,Cheesman Park,1/1/2015
4718459,Denver,CO,39.718579999999996,-104.98438,Speer,1/2/2015
4719119,Denver,CO,39.75956,-105.03851999999999,West Highland,3/3/2015
4727890,Denver,CO,39.72575,-104.99753,Lincoln Park,12/26/2014
4744179,Denver,CO,39.75517,-104.97218000000001,Whittier,11/25/2017
4753876,Denver,CO,39.75663,-104.98482,Five Points,1/23/2016
4758581,Denver,CO,39.75051,-104.91251000000001,South Park Hill,4/4/2016
4766503,Denver,CO,39.65697,-105.06602,Bear Valley,3/13/2015
4775222,Denver,CO,39.7643,-104.9781,Five Points,10/16/2016
4817072,Denver,CO,39.760979999999996,-105.01191999999999,Highland,1/22/2015
4862881,Denver,CO,39.720890000000004,-104.99251000000001,Baker,6/10/2015
4895802,Denver,CO,39.7573,-105.00912,Highland,4/12/2015
4896381,Denver,CO,39.72701,-104.98116,Speer,1/16/2015
4909321,Denver,CO,39.76703,-104.95343999999999,Clayton,2/3/2015
4925740,Denver,CO,39.75741,-105.03048000000001,Sloan Lake,12/31/2017
4951295,Denver,CO,39.740990000000004,-104.96095,City Park West,9/21/2015
4964614,Denver,CO,39.7353,-104.98083000000001,Capitol Hill,3/24/2015
4978830,Lakewood,CO,39.675290000000004,-105.05483000000001,Harvey Park,6/8/2015
4992412,Denver,CO,39.76634,-105.00392,Highland,
5010213,Denver,CO,39.75377,-105.00393999999999,Union Station,3/14/2015
5048001,Denver,CO,39.74326,-104.9323,South Park Hill,
5070640,Denver,CO,39.7635,-105.03478,West Highland,4/11/2015
5103586,Denver,CO,39.76345,-105.0092,Highland,9/5/2016
5141965,Denver,CO,39.76005,-104.96651000000001,Whittier,8/16/2015
5184333,Denver,CO,39.73485,-104.98173,Capitol Hill,6/30/2015
5229866,Denver,CO,39.68905,-105.01884,Ruby Hill,3/15/2015
5302550,Denver,CO,39.73149,-104.95278,Congress Park,6/30/2016
5319847,Denver,CO,39.7389,-104.9528,Congress Park,3/17/2015
5334219,Denver,CO,39.76121,-105.01732,Highland,4/21/2015
5343759,Denver,CO,39.73601,-104.94407,Congress Park,3/5/2015
5347637,Denver,CO,39.73117,-104.92342,Hale,3/10/2015
5351873,Denver,CO,39.75995,-104.89295,Stapleton,8/3/2015
5379218,Denver,CO,39.64861,-104.88696000000002,Hampden South,6/11/2016
5394822,Denver,CO,39.767720000000004,-104.94894,Clayton,3/8/2015
5396713,Denver,CO,39.766040000000004,-104.96056000000002,Cole,2/28/2015
5402378,Denver,CO,39.75891,-104.95351000000001,Skyland,10/16/2015
5411318,Denver,CO,39.735079999999996,-104.9849,Capitol Hill,10/16/2016
5433111,Denver,CO,39.74152,-104.96693,City Park West,4/12/2015
5491785,Denver,CO,39.73182,-104.99176999999999,Civic Center,5/8/2015
5500958,Denver,CO,39.75423,-104.98425,Five Points,4/17/2016
5508545,Denver,CO,39.738490000000006,-104.9181,Montclair,5/5/2015
5508840,Denver,CO,39.75179,-104.88418999999999,Stapleton,7/4/2015
5521140,Denver,CO,39.73349,-104.95414,Congress Park,6/23/2017
5531293,Denver,CO,39.781209999999994,-105.03773999999999,Berkeley,4/21/2015
5558992,Denver,CO,39.7302,-104.99654,Lincoln Park,8/7/2016
5604348,Denver,CO,39.71407,-104.98527,Speer,3/27/2015
5619534,Denver,CO,39.762440000000005,-104.96722,Cole,4/9/2015
5630819,Denver,CO,39.67801,-104.9499,University Park,12/14/2017
5649152,Denver,CO,39.73572,-104.95532,Congress Park,5/6/2015
5671300,Denver,CO,39.75147,-104.97526,Five Points,7/19/2015
5682860,Denver,CO,39.67738,-104.96576,University,
5696654,Denver,CO,39.73506,-104.96992,Cheesman Park,5/17/2015
5746214,Denver,CO,39.7481,-104.91445,South Park Hill,7/24/2018
5792083,Denver,CO,39.733340000000005,-105.0015,Lincoln Park,9/10/2017
5794938,Denver,CO,39.7451,-104.98035,North Capitol Hill,4/21/2015
5814645,Denver,CO,39.72249,-104.97681999999999,Speer,4/23/2015
5820304,Denver,CO,39.737759999999994,-104.97254,Cheesman Park,4/28/2015
5825579,Denver,CO,39.75561,-105.00183,Union Station,5/21/2015
5862429,Denver,CO,39.742470000000004,-104.97503,North Capitol Hill,4/13/2015
5956309,Denver,CO,39.7522,-104.96668999999999,Whittier,4/21/2015
5966633,Denver,CO,39.71342,-104.97507,Speer,3/6/2017
5967830,Denver,CO,39.74943,-105.03582,Sloan Lake,9/15/2015
5968656,Denver,CO,39.7629,-105.02833000000001,West Highland,10/24/2015
5990927,Denver,CO,39.75056,-104.98275,Five Points,5/19/2015
6017776,Denver,CO,39.763459999999995,-104.93218999999999,Northeast Park Hill,12/19/2016
6044888,Denver,CO,39.66206,-105.04865,Harvey Park South,6/9/2016
6051958,Denver,CO,39.7376,-105.04867,West Colfax,5/10/2015
6108231,Denver,CO,39.70113,-104.9214,Washington Virginia Vale,5/25/2015
6141491,Denver,CO,39.69981,-104.92453,Washington Virginia Vale,5/2/2015
6156061,Denver,CO,39.766259999999996,-105.00299,Highland,5/8/2015
6181716,Denver,CO,39.73173,-104.98025,Capitol Hill,11/15/2015
6185753,Denver,CO,39.72826,-104.9731,Capitol Hill,5/29/2016
6187302,Denver,CO,39.73598,-104.97843999999999,Capitol Hill,6/1/2015
6226492,Denver,CO,39.743790000000004,-104.98026999999999,North Capitol Hill,5/15/2015
6288460,Denver,CO,39.683679999999995,-104.98246,Platt Park,
6300806,Denver,CO,39.763659999999994,-104.96088,Cole,1/28/2017
6333040,Denver,CO,39.7595,-104.97393999999998,Five Points,6/2/2015
6348993,Denver,CO,39.77045,-105.01365,Sunnyside,5/29/2017
6349335,Denver,CO,39.78396,-105.03662,Regis,7/17/2015
6355337,Denver,CO,39.66367,-105.01926,College View - South Platte,6/3/2015
6357426,Denver,CO,39.74555,-104.99766000000001,CBD,5/25/2015
6370140,Denver,CO,39.76869,-105.00535,Highland,6/11/2015
6373869,Denver,CO,39.73503,-104.98312,Capitol Hill,5/20/2015
6374807,Denver,CO,39.735409999999995,-104.98195,Capitol Hill,6/6/2015
6410804,Denver,CO,39.7066,-104.92442,Washington Virginia Vale,7/1/2015
6436594,Denver,CO,39.73465,-104.97783000000001,Capitol Hill,6/6/2015
6445171,Denver,CO,39.77063,-105.03706000000001,Berkeley,5/20/2015
6465896,Denver,CO,39.76103,-104.95853999999999,Skyland,5/15/2017
6471872,Denver,CO,39.7601,-105.03478999999999,West Highland,7/6/2015
6488535,Denver,CO,39.715140000000005,-104.98666999999999,Speer,6/19/2015
6515185,Denver,CO,39.75663,-104.98613,Five Points,6/1/2015
6516553,Denver,CO,39.675990000000006,-104.94238999999999,University Park,9/26/2016
6538482,Denver,CO,39.76298,-105.0288,West Highland,7/29/2015
6574455,Denver,CO,39.71753,-104.93503999999999,Hilltop,6/1/2015
6578731,Denver,CO,39.77963,-104.75174,Gateway - Green Valley Ranch,8/16/2015
6623325,Denver,CO,39.718140000000005,-104.93525,Hilltop,6/3/2015
6627279,Denver,CO,39.76748,-104.94368,Clayton,9/5/2016
6671563,Denver,CO,39.7687,-105.00222,Highland,6/30/2015
6678066,Denver,CO,39.74892,-104.97725,Five Points,6/22/2015
6679978,Denver,CO,39.7284,-104.97078,Country Club,
6704642,Denver,CO,39.76164,-104.97106000000001,Whittier,7/1/2016
6730800,Denver,CO,39.7181,-104.98886,Baker,6/20/2015
6799923,Denver,CO,39.77002,-105.01373000000001,Sunnyside,7/3/2017
6834383,Denver,CO,39.71569,-104.97617,Speer,7/3/2015
6846954,Denver,CO,39.75993,-104.98573999999999,Five Points,7/6/2015
6854536,Denver,CO,39.78649,-105.03976000000002,Regis,6/11/2018
6866385,Denver,CO,39.70165,-104.97471000000002,Washington Park West,6/3/2016
6869189,Denver,CO,39.748540000000006,-105.02173,Jefferson Park,8/9/2015
6869896,Denver,CO,39.74227,-104.94838,City Park,7/19/2015
6883917,Denver,CO,39.71935,-105.0365,Barnum,6/27/2015
6891514,Denver,CO,39.7796,-105.01996000000001,Sunnyside,6/11/2016
6894767,Denver,CO,39.787440000000004,-105.00763,Chaffee Park,5/24/2016
6913874,Denver,CO,39.71731,-104.97738000000001,Speer,7/3/2015
6921688,Denver,CO,39.77424,-105.0442,Berkeley,11/16/2015
6925791,Denver,CO,39.75062,-104.98273,Five Points,10/9/2016
6954236,Denver,CO,39.755390000000006,-104.85648,Stapleton,7/5/2015
6992328,Denver,CO,39.75983,-104.96377,Whittier,1/25/2017
7047991,Denver,CO,39.73036,-104.9692,Cheesman Park,7/4/2015
7070662,Denver,CO,39.73976,-104.95783999999999,Congress Park,8/11/2015
7070674,Denver,CO,39.67057,-104.98603999999999,Rosedale,10/31/2015
7071425,Denver,CO,39.669909999999994,-104.98603999999999,Rosedale,9/21/2015
7091323,Denver,CO,39.71055,-104.91478000000001,Washington Virginia Vale,8/22/2015
7095414,Denver,CO,39.72162,-104.89985,Lowry Field,6/13/2016
